surname,origin
afif,arabe
afiouni,arabe
afram,arabe
afran,arabe
aftimos,arabe
afyoumi,arabe
agazarian,arabe
age,arabe
agel,arabe
agen,arabe
ageouri,arabe
agha,arabe
aghazarian,arabe
agochian,arabe
agopian,arabe
agras,arabe
aguil,arabe
ahad,arabe
ahamad,arabe
ahmad,arabe
ahmar,arabe
ahmed,arabe
aiach,arabe
aiache,arabe
aid,arabe
aidamus,arabe
aidar,arabe
aide,arabe
aiech,arabe
aily,arabe
ain,arabe
ainet,arabe
aintablian,arabe
aissami,arabe
ajabahian,arabe
ajaj,arabe
ajam,arabe
ajami,arabe
ajavo,arabe
ajemi,arabe
ajjar,arabe
ajjouri,arabe
ajoue,arabe
ajouri,arabe
ajouz,arabe
ajram,arabe
ajue,arabe
akache,arabe
akaibe,arabe
akari,arabe
akaui,arabe
akauy,arabe
akch,arabe
akel,arabe
akhras,arabe
akhrasse,arabe
akif,arabe
akik,arabe
akiki,arabe
akil,arabe
akim,arabe
akkari,arabe
akke,arabe
akl,arabe
akmakdji,arabe
akouri,arabe
akper,arabe
akrouch,arabe
akrouche,arabe
akruch,arabe
akzam,arabe
al,arabe
al-haj,arabe
al-kamel,arabe
al-zaher,arabe
alabe,arabe
alaby,arabe
aladjadjian,arabe
alahmar,arabe
alam,arabe
alameddine,arabe
alasmar,arabe
albandean,arabe
albe,arabe
albeyadrian,arabe
alcatib,arabe
alchoufi,arabe
alderde,arabe
ale,arabe
alem,arabe
alemam,arabe
alforo,arabe
algoz,arabe
ali,arabe
alian,arabe
alied,arabe
aliph,arabe
alith,arabe
alja,arabe
aljure,arabe
alkichf,arabe
allabi,arabe
alli,arabe
allouche,arabe
allouf,arabe
almazi,arabe
almed,arabe
alouan,arabe
alouf,arabe
alsisi,arabe
altebarmakian,arabe
altoun,arabe
aluan,arabe
alux,arabe
alwan,arabe
aly,arabe
alya,arabe
am,arabe
amad,arabe
amame,arabe
amara,arabe
amari,arabe
amary,arabe
amatti,arabe
amauate,arabe
ambar,arabe
ambra,arabe
amche,arabe
amed,arabe
amem,arabe
amer,arabe
amido,arabe
amim,arabe
amin,arabe
amine,arabe
amiralian,arabe
amm,arabe
ammar,arabe
ammin,arabe
ammine,arabe
amot,arabe
amud,arabe
amui,arabe
anak,arabe
ananian,arabe
anastas,arabe
anauate,arabe
anbar,arabe
ancao,arabe
ancarah,arabe
ancassure,arabe
ancera,arabe
andare,arabe
andari,arabe
andary,arabe
anderaus,arabe
andere,arabe
anderi,arabe
andery,arabe
andoury,arabe
andraasse,arabe
andraos,arabe
andraus,arabe
andrey,arabe
andria,arabe
andriotis,arabe
aned,arabe
angelos,arabe
anka,arabe
anne,arabe
anni,arabe
anouchian,arabe
antakli,arabe
antakly,arabe
antanios,arabe
antar,arabe
antiba,arabe
antonios,arabe
antoum,arabe
antoun,arabe
antun,arabe
aoude,arabe
aoun,arabe
apelian,arabe
aprahamian,arabe
aquim,arabe
aqun,arabe
arab,arabe
arabani,arabe
arabi,arabe
arabian,arabe
arabolglian,arabe
aragi,arabe
araji,arabe
arajih,arabe
arakelian,arabe
araman,arabe
aramouni,arabe
arapian,arabe
arazi,arabe
arbach,arabe
arbache,arabe
arbaji,arabe
arbek,arabe
arbex,arabe
arcache,arabe
ardouni,arabe
arfoul,arabe
arida,arabe
aridi,arabe
arik,arabe
aris,arabe
ariss,arabe
arkache,arabe
arkie,arabe
armali,arabe
armandrian,arabe
armele,arabe
armuch,arabe
arnaut,arabe
arnouq,arabe
aroussian,arabe
arra,arabe
arradi,arabe
arraji,arabe
arro,arabe
arruc,arabe
arruk,arabe
arslanian,arabe
artine,arabe
ary,arabe
ascar,arabe
aschar,arabe
asche,arabe
aschkar,arabe
asckar,arabe
asdorian,arabe
asdurian,arabe
asefur,arabe
asfahani,arabe
asfar,arabe
asfour,arabe
asfur,arabe
ashckar,arabe
asi,arabe
asis,arabe
askar,arabe
askinazi,arabe
aslan,arabe
asli,arabe
asly,arabe
asmar,arabe
asmir,arabe
asouad,arabe
aspahan,arabe
asraoui,arabe
asrayan,arabe
assa,arabe
assaad,arabe
assad,arabe
assadour,arabe
assadourian,arabe
assaf,arabe
assafe,arabe
assais,arabe
assal,arabe
assale,arabe
assali,arabe
assalian,arabe
assaly,arabe
assan,arabe
asse,arabe
assef,arabe
asseis,arabe
assem,arabe
assen,arabe
assi,arabe
assimo,arabe
assine,arabe
assis,arabe
assmah,arabe
assoad,arabe
assof,arabe
assouad,arabe
assper,arabe
assraoui,arabe
assu,arabe
assuani,arabe
assuate,arabe
assuf,arabe
assum,arabe
astassie,arabe
astum,arabe
astun,arabe
astur,arabe
ata,arabe
atalla,arabe
atallah,arabe
atamian,arabe
atani,arabe
atarian,arabe
ataya,arabe
atchelian,arabe
atechilian,arabe
athia,arabe
athie,arabe
athuy,arabe
atia,arabe
atie,arabe
atieh,arabe
atihe,arabe
atik,arabe
atikian,arabe
atique,arabe
atme,arabe
atoue,arabe
atoui,arabe
atra,arabe
atracha,arabe
atrache,arabe
atrib,arabe
atrouni,arabe
attaia,arabe
attala,arabe
attallah,arabe
attanah,arabe
attaqui,arabe
attar,arabe
attarian,arabe
attia,arabe
attie,arabe
attieh,arabe
attihe,arabe
attique,arabe
attoni,arabe
attoui,arabe
attramiz,arabe
attuy,arabe
atui,arabe
atuy,arabe
auad,arabe
auada,arabe
aude,arabe
aueb,arabe
aued,arabe
aukar,arabe
aun,arabe
auon,arabe
aur,arabe
aura,arabe
aurabi,arabe
aury,arabe
aussara,arabe
avakian,arabe
avanian,arabe
awad,arabe
awada,arabe
awar,arabe
awil,arabe
awilla,arabe
awrandjian,arabe
ayach,arabe
ayache,arabe
ayamian,arabe
ayanian,arabe
ayazhe,arabe
aydar,arabe
ayde,arabe
aydoar,arabe
ayek,arabe
ayoub,arabe
ayoubi,arabe
ayoud,arabe
ayssami,arabe
ayub,arabe
azaar,arabe
azam,arabe
azank,arabe
azar,arabe
azarian,arabe
azem,arabe
azeme,arabe
azen,arabe
azer,arabe
aziz,arabe
azm,arabe
azme,arabe
azmiraghdi,arabe
azoun,arabe
azouri,arabe
azrak,arabe
azzam,arabe
azzar,arabe
azzem,arabe
baackilini,arabe
baaclini,arabe
baaklini,arabe
baalbaki,arabe
baani,arabe
babdeti,arabe
babikian,arabe
babojian,arabe
babolian,arabe
baboujian,arabe
baccaoui,arabe
baccar,arabe
baccos,arabe
bacha,arabe
bachaalani,arabe
bachir,arabe
bachoglou,arabe
bachour,arabe
bachur,arabe
bacil,arabe
baclini,arabe
bacos,arabe
badaoui,arabe
badaqui,arabe
baddur,arabe
bademian,arabe
badi,arabe
badicha,arabe
badine,arabe
badiss,arabe
badiz,arabe
badoui,arabe
badra,arabe
badram,arabe
badran,arabe
badreddine,arabe
badue,arabe
badur,arabe
baduy,arabe
bafit,arabe
bagadadi,arabe
bagdade,arabe
baghdadi,arabe
baghdassarian,arabe
baghoss,arabe
baghtchedjian,arabe
baglidoyan,arabe
bagos,arabe
bahdour,arabe
bahdur,arabe
bahi,arabe
bahmdouni,arabe
bahri,arabe
baida,arabe
baidum,arabe
baidun,arabe
baieh,arabe
baine,arabe
bakalian,arabe
bakar,arabe
bakarat,arabe
bakchachian,arabe
bakergian,arabe
bakhache,arabe
bakhos,arabe
baki,arabe
baklayan,arabe
bakos,arabe
bakr,arabe
bakri,arabe
baktchedjian,arabe
baladi,arabe
balady,arabe
balaghi,arabe
balaila,arabe
balakch,arabe
balakdjian,arabe
balayla,arabe
baldassarian,arabe
baldia,arabe
balech,arabe
baleche,arabe
bali,arabe
balian,arabe
baliezian,arabe
balikian,arabe
balissiano,arabe
balkian,arabe
balladi,arabe
ballan,arabe
ballani,arabe
ballura,arabe
bally,arabe
balura,arabe
baly,arabe
bamboukian,arabe
bana,arabe
banat,arabe
bandouk,arabe
banduc,arabe
banduk,arabe
banna,arabe
bannout,arabe
bannuth,arabe
banudi,arabe
baouchi,arabe
baracat,arabe
barachic,arabe
barakat,arabe
barakate,arabe
barake,arabe
baraqueth,arabe
barbar,arabe
barbara,arabe
barberi,arabe
barboglolian,arabe
barbour,arabe
barchim,arabe
barchin,arabe
barchini,arabe
bardaouil,arabe
bardauil,arabe
barelian,arabe
baresi,arabe
barghache,arabe
barghout,arabe
barham,arabe
barisas,arabe
barjud,arabe
barkhoyama,arabe
baroud,arabe
baroudi,arabe
barouk,arabe
barouki,arabe
barrach,arabe
barrak,arabe
barud,arabe
barude,arabe
barudi,arabe
baruque,arabe
barzalay,arabe
barzelai,arabe
barzelay,arabe
barzi,arabe
barzilai,arabe
barzilay,arabe
basmadji,arabe
bassal,arabe
bassil,arabe
bassili,arabe
bassit,arabe
bassitt,arabe
bastouly,arabe
batah,arabe
batatian,arabe
batbatian,arabe
batbouta,arabe
bathich,arabe
batlouni,arabe
batman,arabe
batry,arabe
battah,arabe
battat,arabe
batti,arabe
bauab,arabe
bauchi,arabe
baudouil,arabe
baueb,arabe
bauna,arabe
baxi,arabe
bayeh,arabe
bayoud,arabe
bayoumi,arabe
bayud,arabe
bazaan,arabe
bazhan,arabe
bazi,arabe
bazjian,arabe
bazuni,arabe
bazzi,arabe
bdayoui,arabe
bdeir,arabe
beaini,arabe
bebeachibuli,arabe
becha,arabe
bechaalani,arabe
bechamoni,arabe
bechara,arabe
bechir,arabe
bechkhange,arabe
bechtiguian,arabe
beckdache,arabe
bedoian,arabe
bedonian,arabe
bedoyan,arabe
bedran,arabe
bedros,arabe
bedrosian,arabe
bedrossian,arabe
behar,arabe
behnan,arabe
bejane,arabe
bejaye,arabe
beleche,arabe
belich,arabe
bellix,arabe
benarros,arabe
bencoil,arabe
benuth,arabe
benuthe,arabe
berbare,arabe
berbari,arabe
berbere,arabe
berberi,arabe
berberian,arabe
berchim,arabe
beregard,arabe
bernaba,arabe
bernacer,arabe
berrak,arabe
berre,arabe
bersi,arabe
bertzlian,arabe
besjian,arabe
bestros,arabe
betenjane,arabe
betenjani,arabe
betinjane,arabe
betroz,arabe
betrus,arabe
betto,arabe
beydoun,arabe
beyruty,arabe
bezdikian,arabe
bezzi,arabe
bibiachibyoly,arabe
bichar,arabe
bichara,arabe
bichir,arabe
bidaoui,arabe
bidikian,arabe
bigio,arabe
bihar,arabe
bijikian,arabe
bijjeni,arabe
bijoyan,arabe
bilal,arabe
binyamine,arabe
birani,arabe
bisaile,arabe
bisteni,arabe
bitar,arabe
bitarian,arabe
bittar,arabe
bitti,arabe
bity,arabe
bloudani,arabe
boabaid,arabe
boainain,arabe
boassef,arabe
bochi,arabe
bochnakian,arabe
bochoglonian,arabe
boeme,arabe
boene,arabe
bogazidelikian,arabe
boghossian,arabe
bogikian,arabe
boguns,arabe
bohsali,arabe
boida,arabe
boikian,arabe
bojadi,arabe
bojikian,arabe
bokhaazi,arabe
bolos,arabe
bon-rached,arabe
bonater,arabe
bonduki,arabe
bonemer,arabe
bonganem,arabe
boralanian,arabe
bordokan,arabe
borihan,arabe
borsini,arabe
bosa,arabe
botchikian,arabe
bou,arabe
bou-abbas,arabe
bou-assi,arabe
bou-ghosn,arabe
boucalil,arabe
bouchnak,arabe
boucri,arabe
boudakian,arabe
boudani,arabe
boudaye,arabe
boudi,arabe
boudjikian,arabe
boueiri,arabe
boueri,arabe
boughosn,arabe
boujaudi,arabe
bouladian,arabe
boulos,arabe
boumussa,arabe
boundok,arabe
bourached,arabe
bourdoukan,arabe
bourmayan,arabe
bourounsezian,arabe
boursalian,arabe
bousamra,arabe
boushi,arabe
boussader,arabe
boussaybes,arabe
boustani,arabe
boutchakdjian,arabe
boutros,arabe
bouwary,arabe
bouykian,arabe
bouzaian,arabe
bouzeen,arabe
boyadjian,arabe
boyamian,arabe
brahemcha,arabe
brahencha,arabe
brahim,arabe
brahy,arabe
braidi,arabe
braik,arabe
braim,arabe
brain,arabe
brais,arabe
braiss,arabe
brassaly,arabe
brax,arabe
braxs,arabe
breidi,arabe
breim,arabe
brek,arabe
bridi,arabe
brihy,arabe
brons,arabe
bsaiber,arabe
bsaibes,arabe
bsuse,arabe
bsusi,arabe
bu-khaz,arabe
buabsi,arabe
buahamad,arabe
buainain,arabe
buassali,arabe
buassaly,arabe
buassi,arabe
buatim,arabe
bubechara,arabe
bucai,arabe
bucalem,arabe
buccarrob,arabe
buchaim,arabe
buchain,arabe
buchala,arabe
buchalla,arabe
buchdid,arabe
buchedid,arabe
budare,arabe
bueri,arabe
bufarahe,arabe
bugarib,arabe
buissa,arabe
bujaudi,arabe
bulamah,arabe
bulgusdjian,arabe
bumussa,arabe
bumussi,arabe
bunduki,arabe
bunduky,arabe
bunemer,arabe
burihan,arabe
burraj,arabe
busalaf,arabe
busamra,arabe
bussab,arabe
bussamara,arabe
bussarkis,arabe
bustani,arabe
bustany,arabe
butara,arabe
buzaid,arabe
buzalaf,arabe
buzian,arabe
buzien,arabe
cababie,arabe
cabbaz,arabe
cachuf,arabe
cachun,arabe
cadi,arabe
cadig,arabe
cahali,arabe
cahil,arabe
cahvejian,arabe
caiatta,arabe
caibridin,arabe
cairala,arabe
cais,arabe
calache,arabe
calaf,arabe
calafi,arabe
calarge,arabe
calas,arabe
calif,arabe
califa,arabe
calife,arabe
calikto,arabe
calil,arabe
calixto,arabe
callaf,arabe
callas,arabe
caltchengi,arabe
calux,arabe
camasmia,arabe
camasmie,arabe
camhagi,arabe
camilios,arabe
canan,arabe
candalafat,arabe
candalaft,arabe
canfur,arabe
cannux,arabe
capeloto,arabe
capez,arabe
carabet,arabe
caram,arabe
caran,arabe
carfan,arabe
carffane,arabe
carrao,arabe
carui,arabe
casap,arabe
casbar,arabe
cashanna,arabe
cassab,arabe
cassabian,arabe
cassar,arabe
casseb,arabe
cater,arabe
catib,arabe
cauchecarian,arabe
caxaxan,arabe
cebara,arabe
cecilio,arabe
cecin,arabe
cessine,arabe
chaaban,arabe
chaaito,arabe
chaar,arabe
chabbouh,arabe
chabboul,arabe
chabbu,arabe
chabbuh,arabe
chabchab,arabe
chabchoul,arabe
chabel,arabe
chabke,arabe
chabo,arabe
chabouh,arabe
chabu,arabe
chabuh,arabe
chacara,arabe
chaccur,arabe
chacha,arabe
chachati,arabe
chachian,arabe
chachine,arabe
chacour,arabe
chacra,arabe
chacur,arabe
chada,arabe
chadarenian,arabe
chadarevian,arabe
chadarifian,arabe
chaddad,arabe
chaddoud,arabe
chaddud,arabe
chade,arabe
chadi,arabe
chadud,arabe
chaebo,arabe
chaere,arabe
chafei,arabe
chafic,arabe
chafik,arabe
chaghouri,arabe
chagure,arabe
chaguri,arabe
chahad,arabe
chahara,arabe
chahchah,arabe
chahda,arabe
chahhoud,arabe
chahim,arabe
chahime,arabe
chahin,arabe
chahine,arabe
chahla,arabe
chahoud,arabe
chahud,arabe
chaia,arabe
chaib,arabe
chaibub,arabe
chaide,arabe
chaien,arabe
chaihne,arabe
chaim,arabe
chain,arabe
chaine,arabe
chakar,arabe
chaker,arabe
chakerian,arabe
chakkour,arabe
chakur,arabe
chala,arabe
chalac,arabe
chalboul,arabe
chalegh,arabe
chalela,arabe
chalfon,arabe
chalfoun,arabe
chalhaub,arabe
chalhoub,arabe
chalhub,arabe
chalian,arabe
chalita,arabe
challa,arabe
challita,arabe
challout,arabe
chalom,arabe
chalon,arabe
chaloub,arabe
chalouhi,arabe
chalup,arabe
chama,arabe
chamaa,arabe
chamai,arabe
chamandi,arabe
chamao,arabe
chamaoun,arabe
chamas,arabe
chamati,arabe
chamcham,arabe
chamdjian,arabe
chame,arabe
chameon,arabe
chamete,arabe
chamette,arabe
chami,arabe
chamie,arabe
chamieh,arabe
chamin,arabe
chamine,arabe
chamini,arabe
chamklidjian,arabe
chamlian,arabe
chamma,arabe
chammae,arabe
chammas,arabe
chammata,arabe
chammou,arabe
chamoun,arabe
chams,arabe
chamseddine,arabe
chamsedung,arabe
chamsi,arabe
chamulak,arabe
chamy,arabe
chanine,arabe
chaoi,arabe
chaoui,arabe
chaouk,arabe
chaoul,arabe
chapchap,arabe
charaf,arabe
charafeddine,arabe
charafedini,arabe
charanek,arabe
charara,arabe
charayeb,arabe
charbel,arabe
charbil,arabe
charchafji,arabe
charfan,arabe
charif,arabe
charkassian,arabe
charkezian,arabe
charkie,arabe
charour,arabe
charrouf,arabe
charruf,arabe
chartini,arabe
chartouni,arabe
chartuni,arabe
charur,arabe
chatach,arabe
chater,arabe
chati,arabe
chatila,arabe
chattah,arabe
chaud,arabe
chaufan,arabe
chaui,arabe
chaul,arabe
chauman,arabe
chawa,arabe
chawiche,arabe
chawmar,arabe
chaya,arabe
chayeb,arabe
chayen,arabe
chayesteian,arabe
chazal,arabe
chazzaoui,arabe
chazzaqui,arabe
chbane,arabe
chbat,arabe
chbchoul,arabe
cheade,arabe
cheadi,arabe
cheaito,arabe
chebair,arabe
chebani,arabe
chebaro,arabe
chebat,arabe
chebel,arabe
chebib,arabe
chebl,arabe
cheble,arabe
chebli,arabe
cheda,arabe
chedd,arabe
cheded,arabe
chediac,arabe
chediak,arabe
chedick,arabe
chedid,arabe
chedraoni,arabe
chedraoui,arabe
chegure,arabe
chehab,arabe
chehad,arabe
chehade,arabe
chehadi,arabe
chehaid,arabe
chehda,arabe
chehine,arabe
chehoud,arabe
cheida,arabe
cheidade,arabe
cheikh,arabe
cheker,arabe
chekhieh,arabe
chelala,arabe
chelhot,arabe
chemmer,arabe
chemurr,arabe
chenine,arabe
cheoud,arabe
chequer,arabe
chereim,arabe
cherfan,arabe
cherkezian,arabe
chiah,arabe
chian,arabe
chibani,arabe
chibebe,arabe
chibli,arabe
chicani,arabe
chichmanian,arabe
chidiac,arabe
chidid,arabe
chiedde,arabe
chihimi,arabe
chikelard,arabe
chikhani,arabe
chimachmanian,arabe
chirinian,arabe
chjan,arabe
chkair,arabe
chmait,arabe
chmouri,arabe
choaib,arabe
choairy,arabe
chocair,arabe
chodraui,arabe
choela,arabe
chohdda,arabe
chohfi,arabe
chokr,arabe
chomr,arabe
chorbajian,arabe
choucair,arabe
choucaira,arabe
choueila,arabe
choueire,arabe
choueiri,arabe
choueri,arabe
chouf,arabe
choufi,arabe
choukeira,arabe
choukr,arabe
choumaer,arabe
chouman,arabe
chowai,arabe
chreim,arabe
chrem,arabe
chrim,arabe
chritl,arabe
chritunian,arabe
chuahy,arabe
chuay,arabe
chucair,arabe
chucri,arabe
chueire,arabe
chuere,arabe
chueri,arabe
chufan,arabe
chuffi,arabe
chuhfe,arabe
chujfi,arabe
chukr,arabe
chuvukian,arabe
cmel,arabe
cobein,arabe
cohen,arabe
cohlmia,arabe
colastian,arabe
colchibachi,arabe
constantin,arabe
contar,arabe
corban,arabe
coria,arabe
cortas,arabe
cosac,arabe
cotait,arabe
couri,arabe
coury,arabe
crede,arabe
crunfli,arabe
culchebachi,arabe
cure,arabe
curi,arabe
curiati,arabe
cury,arabe
daaboul,arabe
daadouche,arabe
dabague,arabe
dabaj,arabe
dabbas,arabe
dabbous,arabe
dabbur,arabe
dabdab,arabe
dabian,arabe
dabig,arabe
dable,arabe
dabori,arabe
dabouri,arabe
dabur,arabe
daburi,arabe
dabus,arabe
dacca,arabe
daccache,arabe
dada,arabe
dadian,arabe
dagan,arabe
daghastanli,arabe
dagher,arabe
daghidi,arabe
dagli,arabe
dagun,arabe
dahass,arabe
dahdal,arabe
daher,arabe
dahlan,arabe
dahouk,arabe
dahrouge,arabe
dahruje,arabe
dahwache,arabe
dahyr,arabe
daichoum,arabe
daichoun,arabe
dajermajian,arabe
dakar,arabe
dakessian,arabe
dakhil,arabe
dakil,arabe
dakkache,arabe
dalal,arabe
dalank,arabe
dale,arabe
dali,arabe
dallal,arabe
dalle,arabe
dalleh,arabe
dalloul,arabe
dallous,arabe
damaa,arabe
damian,arabe
dammous,arabe
damnous,arabe
damus,arabe
daneu,arabe
danikian,arabe
daon,arabe
daou,arabe
daoualibi,arabe
daouar,arabe
daoud,arabe
daoui,arabe
daouly,arabe
daoun,arabe
daoura,arabe
daquer,arabe
darakdjian,arabe
darakjian,arabe
darawche,arabe
dardaque,arabe
dareb,arabe
darghali,arabe
dargham,arabe
darghan,arabe
darhouge,arabe
darido,arabe
darkissian,arabe
darouiche,arabe
darouss,arabe
daruich,arabe
daruj,arabe
darvadjian,arabe
darwich,arabe
darwiche,arabe
darwichian,arabe
darze,arabe
dassouki,arabe
dau,arabe
dauar,arabe
daud,arabe
daule,arabe
daussaki,arabe
david,arabe
davidian,arabe
dawa,arabe
dawailibi,arabe
dawalibi,arabe
dayan,arabe
daychoum,arabe
daychoun,arabe
daye,arabe
dayeh,arabe
dayermajian,arabe
daylloub,arabe
dayoub,arabe
dayyoub,arabe
dea,arabe
debbas,arabe
debdab,arabe
debeis,arabe
debouch,arabe
debs,arabe
dechoum,arabe
deghaiche,arabe
deghaide,arabe
deghaidi,arabe
degham,arabe
dehaini,arabe
dehn,arabe
deihi,arabe
dejeizian,arabe
delazar,arabe
delghaidi,arabe
delikian,arabe
dellegian,arabe
demetrio,arabe
demianos,arabe
demidjian,arabe
dend,arabe
deoud,arabe
dequech,arabe
dequirmandjian,arabe
derani,arabe
deratani,arabe
derbas,arabe
derbedrassian,arabe
derbedrossian,arabe
derbogossian,arabe
derdahi,arabe
derdaki,arabe
derderian,arabe
dergarabedian,arabe
dergham,arabe
derghan,arabe
derghazarian,arabe
derharoutiounian,arabe
dermakaelian,arabe
dermargos,arabe
dermenajian,arabe
dermendjian,arabe
dernaika,arabe
derneka,arabe
derra,arabe
derraik,arabe
derwich,arabe
derwuiche,arabe
derze,arabe
deukmedjian,arabe
deyrmandjian,arabe
deyrmendjian,arabe
dghaide,arabe
dghaidi,arabe
diab,arabe
diamenti,arabe
dib,arabe
diba,arabe
diban,arabe
dibbo,arabe
dibe,arabe
dibi,arabe
dibos,arabe
dibs,arabe
dibssie,arabe
dichi,arabe
dichy,arabe
didi,arabe
din,arabe
dine,arabe
diovan,arabe
dirani,arabe
direne,arabe
dirgam,arabe
dirze,arabe
diwan,arabe
diwana,arabe
dizze,arabe
djaber,arabe
djadikian,arabe
djadiqian,arabe
djakerian,arabe
djakerlan,arabe
djalian,arabe
djamikian,arabe
djarkerian,arabe
djarmakani,arabe
djbayli,arabe
djehdian,arabe
djehizian,arabe
djekeim,arabe
djevalikian,arabe
djian,arabe
djighalian,arabe
djinishian,arabe
djkkem,arabe
djmal,arabe
djouayed,arabe
djouki,arabe
djozhakian,arabe
dlank,arabe
doghaim,arabe
doher,arabe
dohir,arabe
dohn,arabe
dolabani,arabe
dolabdjian,arabe
dolmajian,arabe
domit,arabe
donabedian,arabe
donek,arabe
donelian,arabe
dorgam,arabe
douahi,arabe
douaihi,arabe
doueidar,arabe
doueihi,arabe
doughaidi,arabe
douhoun,arabe
doulabidjian,arabe
doumani,arabe
doumet,arabe
doumiati,arabe
doumit,arabe
doumith,arabe
doummar,arabe
dounelian,arabe
dounilian,arabe
doura,arabe
dourgham,arabe
draij,arabe
dreibi,arabe
dreige,arabe
drgnam,arabe
drikh,arabe
droub,arabe
droubi,arabe
droutsa,arabe
drubi,arabe
duaick,arabe
duailibi,arabe
dualibe,arabe
duckail,arabe
dugaich,arabe
dugaim,arabe
duhho,arabe
dukhail,arabe
dulchail,arabe
dulgan,arabe
dumet,arabe
dumit,arabe
dunia,arabe
dupont,arabe
dwalioi,arabe
dweik,arabe
eamim,arabe
ebaid,arabe
ebran,arabe
echkanian,arabe
echrefian,arabe
edaira,arabe
eddair,arabe
edde,arabe
eddin,arabe
eddine,arabe
eddo,arabe
edine,arabe
edirnelian,arabe
edlib,arabe
edmond,arabe
eghiaian,arabe
ego,arabe
eid,arabe
eide,arabe
eidi,arabe
eik,arabe
eissa,arabe
ejbeh,arabe
el-balah,arabe
el-chawiche,arabe
el-darwiche,arabe
el-faro,arabe
el-farou,arabe
el-felfeli,arabe
el-hadi,arabe
el-hage,arabe
el-haj,arabe
el-honayer,arabe
el-hurchaoui,arabe
el-jarouche,arabe
el-jurdi,arabe
el-kaddisi,arabe
el-kaddoum,arabe
el-kadre,arabe
el-kadri,arabe
el-khezzak,arabe
el-khouri,arabe
el-memari,arabe
el-messane,arabe
el-mohaitawi,arabe
el-nahoum,arabe
el-nasser,arabe
el-nemeir,arabe
el-orra,arabe
el-ossais,arabe
el-reaidi,arabe
el-riachi,arabe
el-sayegh,arabe
el-skaf,arabe
el-sous,arabe
el-tabcharani,arabe
el-tair,arabe
el-tawil,arabe
el-tini,arabe
el-toubchrani,arabe
elaachoure,arabe
elakdi,arabe
